tconst,title_type,primary_title,alternate_title,is_adult,start_year,end_year,run_time_minutes,genres
tt0067217,movie,The Hospital,The Hospital,0,1971,,103,"Comedy,Drama,Mystery"
tt0067228,movie,Hændeligt uheld,Hændeligt uheld,0,1971,,88,Drama
tt0067243,movie,In the Devil's Garden,Assault,0,1971,,91,"Crime,Drama,Horror"
tt0067426,tvEpisode,Michael Regan,Michael Regan,0,1971,,70,"Comedy,Drama"
tt0067620,movie,Private Road,Private Road,0,1971,,89,"Drama,Romance"
tt0067800,movie,Straw Dogs,Straw Dogs,0,1971,,113,"Crime,Drama,Thriller"
tt0067822,movie,Tam Lin,The Ballad of Tam Lin,0,1970,,106,"Horror,Mystery"
tt0067826,tvEpisode,Tartuffe,Tartuffe,0,1971,,,Drama
tt0067952,movie,Villain,Villain,0,1971,,98,"Crime,Drama,Thriller"
tt0068099,tvSeries,Madigan,Madigan,0,1972,1973,90,"Crime,Drama,Mystery"
tt0068662,movie,The Great Waltz,The Great Waltz,0,1972,,135,"Biography,Drama,Music"
tt0068906,tvMovie,A Man Without Friends,A Man Without Friends,0,1972,,,
tt0069225,movie,Savage Messiah,Savage Messiah,0,1972,,97,"Biography,Drama"
tt0069273,movie,Sitting Target,Sitting Target,0,1972,,93,"Action,Crime,Drama"
tt0069316,tvMovie,The Stone Tape,The Stone Tape,0,1972,,90,"Fantasy,Horror,Mystery"
tt0069512,tvEpisode,A Woman Sobbing,A Woman Sobbing,0,1972,,49,"Drama,Horror,Mystery"
tt0069516,movie,"X, Y & Zee",Zee and Co.,0,1972,,110,Drama
tt0069574,tvSeries,Diana,Diana,0,1973,1974,30,Comedy
tt0069733,tvMiniSeries,The Ascent of Man,The Ascent of Man,0,1973,1973,50,"Documentary,History"
tt0069803,movie,The Blockhouse,The Blockhouse,0,1973,,93,"Drama,War"
tt0069824,movie,"Brother Sun, Sister Moon","Fratello sole, sorella luna",0,1972,,121,"Biography,Drama,History"
tt0070117,tvEpisode,Glorious Miles,Glorious Miles,0,1973,,,Drama
tt0070291,movie,The Last of Sheila,The Last of Sheila,0,1973,,120,"Crime,Drama,Mystery"
tt0070346,movie,Luther,Luther,0,1974,,110,"Biography,Drama"
tt0070351,movie,The MacKintosh Man,The MacKintosh Man,0,1973,,98,Thriller
tt0070357,movie,Malachi's Cove,Malachi's Cove,0,1973,,75,Drama
tt0070592,movie,Massacre in Rome,Rappresaglia,0,1973,,110,"Drama,History,War"
tt0070791,movie,Theater of Blood,Theatre of Blood,0,1973,,104,"Comedy,Drama,Horror"
tt0071039,tvMiniSeries,QB VII,QB VII,0,1974,1974,390,"Drama,Mystery"
tt0071080,movie,11 Harrowhouse,11 Harrowhouse,0,1974,,94,"Comedy,Crime,Thriller"
tt0071105,tvSeries,Affairs of the Heart,Affairs of the Heart,0,1974,1975,,"Comedy,Drama,Romance"
